<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.02	04:15:00	26036	26065	25953	26006	125	0	14
2021.08.02	04:16:00	26005	26005	25950	25981	86	0	14
2021.08.02	04:17:00	25981	26015	25954	25983	81	0	14
2021.08.02	04:18:00	25983	26000	25967	25993	59	0	14
2021.08.02	04:19:00	25992	26041	25971	26033	96	0	14
2021.08.02	04:20:00	26033	26033	25964	25995	94	0	14
2021.08.02	04:21:00	25995	26008	25947	25970	83	0	14
2021.08.02	04:22:00	25970	25977	25945	25969	54	0	14
2021.08.02	04:23:00	25969	25977	25964	25964	38	0	14
2021.08.02	04:24:00	25964	25992	25962	25989	68	0	14
2021.08.02	04:25:00	25989	26015	25976	26010	61	0	14
2021.08.02	04:26:00	26009	26013	25977	25997	52	0	14
2021.08.02	04:27:00	25997	26062	25973	26062	64	0	14
2021.08.02	04:28:00	26062	26080	26037	26063	85	0	14
2021.08.02	04:29:00	26063	26063	26035	26046	50	0	14
2021.08.02	04:30:00	26046	26048	25959	25979	128	0	14
2021.08.02	04:31:00	25979	26003	25941	25965	120	0	14
2021.08.02	04:32:00	25965	26015	25939	25970	116	0	14
2021.08.02	04:33:00	25970	26005	25935	25977	110	0	14
2021.08.02	04:34:00	25977	25987	25905	25930	100	0	14
2021.08.02	04:35:00	25930	25960	25899	25917	116	0	14
2021.08.02	04:36:00	25917	25978	25903	25948	113	0	14
2021.08.02	04:37:00	25948	26016	25938	26016	106	0	14
2021.08.02	04:38:00	26016	26028	25983	25991	109	0	14
2021.08.02	04:39:00	25991	26020	25961	26011	106	0	14
2021.08.02	04:40:00	26013	26015	25971	25993	105	0	14
2021.08.02	04:41:00	25993	26005	25927	25966	105	0	14
2021.08.02	04:42:00	25966	26011	25938	25967	109	0	14
2021.08.02	04:43:00	25967	26003	25939	25990	103	0	14
2021.08.02	04:44:00	25990	26007	25942	25955	102	0	14
2021.08.02	04:45:00	25956	25956	25889	25932	115	0	14
2021.08.02	04:46:00	25932	25938	25888	25891	100	0	14
2021.08.02	04:47:00	25891	25893	25861	25865	94	0	14
2021.08.02	04:48:00	25865	25885	25822	25838	99	0	14
2021.08.02	04:49:00	25838	25859	25827	25843	96	0	14
2021.08.02	04:50:00	25843	25863	25818	25837	100	0	14
2021.08.02	04:51:00	25837	25885	25803	25874	100	0	14
2021.08.02	04:52:00	25874	25887	25850	25854	87	0	14
2021.08.02	04:53:00	25854	25855	25830	25847	77	0	14
2021.08.02	04:54:00	25843	25859	25811	25828	97	0	14
2021.08.02	04:55:00	25828	25853	25822	25833	99	0	14
2021.08.02	04:56:00	25833	25852	25791	25846	111	0	14
2021.08.02	04:57:00	25846	25850	25805	25827	103	0	14
2021.08.02	04:58:00	25827	25892	25827	25878	88	0	14
2021.08.02	04:59:00	25878	25898	25866	25869	85	0	14
2021.08.02	05:00:00	25869	25869	25800	25826	100	0	14
2021.08.02	05:01:00	25826	25848	25797	25835	95	0	14
2021.08.02	05:02:00	25835	25835	25790	25793	87	0	14
2021.08.02	05:03:00	25793	25801	25742	25772	92	0	14
2021.08.02	05:04:00	25772	25791	25744	25776	93	0	14
2021.08.02	05:05:00	25776	25782	25738	25755	92	0	14
2021.08.02	05:06:00	25753	25773	25745	25769	91	0	14
2021.08.02	05:07:00	25769	25781	25752	25756	86	0	14
2021.08.02	05:08:00	25756	25758	25711	25739	91	0	14
2021.08.02	05:09:00	25739	25759	25739	25746	83	0	14
2021.08.02	05:10:00	25742	25788	25733	25779	86	0	14
